	target_text	input_text	prefix
91	Можно ли обвинить Дж. Буша в военных преступлениях?	"Только свободо-ненавистники могут интересоваться таким вопросом, но мы вынуждены развеять ваши сомнения. Существует три основных версии, ставящих под сомнение тот факт, что Буш является пацифистом. (1) Он провозгласил войну против Ирака, который никогда не приносил вреда Америке. (2) С легкой руки он позволил разгромить мирное население. (3) Как главнокомандующий, он несет ответственность за плохое обращение с иракскими заключенными. Все эти факты, к сожалению, правдивы. Но это еще не все. ООН не позволяет применять военную силу даже в условиях самозащиты, но на деле это не имеет никакой юридической силы. Со слов Джонатана Теппермана, редактора журнала ""Внешняя политика"", ""данные гражданские доктрины связаны с субъективными суждениями, так что трудно определить их законность."" Возможно, это оправдывает первые два пункта обвинения, но при этом проблема насилия остается открытой. Со времен нацисткого разгрома 40-х годов международное право ставит таких глав, как Буш, ответственных за издевательство над пленными. Уловка? Не существует единой точки зрения на этот счет, но даже при условии ее существования она бы вряд ли себя оправдала. Ха, ха."	ask_question
380	В Великобритании левостороннее движение, на континенте - наоборот. Где под Ла-Маншем перестроиться?	"Нигде. Ты удивишься, но под Ла-Маншем нет автомобильного движения — только железнодорожное. Джон Киф, глава департамента общественных связей компании ""Евротоннель"", объяснил, что тебя вместе с твоей машиной погрузят в отдельную ячейку шатла и отвезут в пункт назначения. И при всем желании ты не сможешь перестроиться на встречную колею. А при выезде тебя встретит масса предупредительных знаков — друг ты забыл, по какой стороне ехать."	ask_question
247	Почему скороговорки так трудно говорить? Только ли в языке дело?	"""В языке - в последнюю очередь"", - заявила нам логопед ГПД №5 Светлана Макаренко. Сославшись на исследования Университета Иллинойса, она объяснила, что скороговорки трудно не только произносить, но и писать. У среднего человека уходит в 1,5 раза больше времени на то, чтобы вывести ""шла Саша по шоссе"", чем на обычную фразу с таким же количеством букв. Всему виной, как обычно, мозг. Чередование похожих звуков вызывает не физический отказ речевого аппарата, а когнитивный. ""Проще говоря, человек задумывается над тем, какие звуки должен произнести. Из-за их подобия мозг как бы сбивается, и нейроны передают неверные импульсы"". Поэтому, кстати, нельзя, освоив одну скороговорку, без запинки произнести и другую, пусть даже похожую по составу: нейронные связи приходится каждый раз налаживать заново. ""Зато после регулярных тренировок любой язык способен на подвиги"", - заключила Светлана, почему-то густо покраснев."	ask_question
152	Действительно ли вредно сводить глаза к носу? А если при этом человека напугать?	"""Максимальный вред, который можно получить от нарочитого сведения глаз, - это показаться кому-то глупым"", - утверждает д.м.н., завотделением факохирургии и интраокулярной коррекции ГУ НИИ глазных болезней РАМН, главврач Центра восстановления зрения Юсеф Наим Юсеф. Дело в том, что твой орган зрения давно привык к подобным (только менее сильным) манипуляциям, а врачи даже дали им название - конвергенция. ""Она возникает всегда, когда мы рассматриваем что-то на близком расстоянии: глаза немного сводятся друг к другу"". Чтобы проверить эксперта на честность, поднеси к носу монитор с этой страницей сайта и попытайся продолжить читать - вот она, конвергенция! Кстати, ты часом не близорукий? Доктор отметил, что люди с очень большим ""минусом"" часто, оставшись без очков, разглядывают что-то на неприлично близком расстоянии. То есть мышцы близоруких глаз натренированы до такой степени, что ходить ""косыми"" очкариками могут сколько пожелают (у остальных людей мышцы устают очень быстро). Что касается страха, то он не имеет к твоим (и нашим, кстати, тоже) глазам никакого отношения. Ничего с ними не случится, даже если во время конвергенции на тебя нападет Филипп Киркоров. Развлекайся!"	ask_question
87	Сколько я могу вдохнуть кокаина, чтобы нос перестал что-либо ощущать?	"Не переживайте. Вступая в контакт с людьми, болеющими венерическими заболеваниями, вероятность умереть возрастает в разы. Кроме того, ваш нос теоретически не может перестать ощущать, так как носовая перегородка - то есть хрящ, который предотвращает попадание в ваши ноздри вредных веществ, не может потерять своих защитных свойств. С тех пор, как Конни Хедегаард произвел исследование крови, ему удалось выяснить причину омертвления тканей. Со временем ваше лицо может стать плоским и мягким, и это явление в науке доктора называют ""рецидивирующим полихондритом"". Сколько можно втянуть кокаина, чтобы нос перестал ощущать что-либо, остается только догадываться. ""У некоторых пациентов это происходит спустя три или четыре вдоха"", поделился с нами В.А. Петров, ведущий специалист медико-биологического факультета РНИМУ им. Н.И. Пирогова. ""Однако другие употребляют кокаин регулярно в течении многих лет и у них не возникает никаких проблем."" Так, если вы будете злоупотреблять приемом кокаина, позволяйте вашему носу побольше отдыхать между его приемами."	ask_question
120	Почему в феврале 28 дней?	"Для летоисчисления в мире в основном используется григорианский календарь. Григорианский календарь в основном базируется на календаре юлианском, а юлианский наследует календарю древнеримскому. Поэтому все термины, используемые в современном календаре, ведут свое происхождение от римского календаря. В древнем Риме год начинался с месяца марта. В древнейшем (Ромуловом) календаре год делился на 10 месяцев и состоял из 304 дней. Февраля и января еще не было. Реформа календаря, проведенная Нумом Помпилием (или Тарквинием) должна была привязать летоисчисление к солнечно лунному циклу. Тогда-то и появились январь, с которого теперь начинался год, и февраль. На февраль, как последний месяц года, пришлись 29 дней в обычные годы, а в високосные – 30 дней. При Гае Юли Цезаре была проведена новая календарная реформа. Был введен четырехгодичный цикл, в котором три года – 365 дней и один год – 366 дней. В честь этого события летний месяц стал называться ""июлем"". Потом увековечили в календаре имя императора Октавиана Августа. Четное количество дней в месяце считалось у римлян несчастливым предзнаменованием, поэтому грозный император волевым решением увеличил ""свой"" месяц на один день. По этой причине после июля, с его 31 днем, идет август с таким же количеством дней. День был ""отнят"" у февраля. Поэтому теперь в обычные годы в феврале 28 дней, а в високосные – 29."	ask_question
100	Сколько весит воздух в легких?	Спросили у врачей, оказалось, что медицина ответить на этот вопрос бессильна.Википедия утверждает, что объем легких человека составляет около 5-6 литров, а плотность воздуха при температуре тела равна примерно 1,14 грамм/литр. Не нужно быть профессором кафедры аэродинамики чтобы подсчитать, что воздух в легких весит всего 6-7 грамм.	ask_question
459	"Откуда произошло слово ""подмышки""?"	"Сотрудника ОАО ""Москвич"", кандидата технических наук Константина Федулова всерьез заинтересовал этот вопрос, и он ответил: ""Во-первых, это хлопотно и дорого, то есть не технологично. К тому же при столкновении водители все равно будут погибать или ломать части тела, потому что, когда машина разгоняется, а потом неожиданно врезается, накопленная кинетическая энергия переходит в физические травмы. Конечно, резина больше деформируется, но эта деформация не избавит потерпевшего от травм"". Так что выпуск резиновых ""Москвичей"" и ""Князей Владимиров"", к счастью, пока не планируется."	ask_question
82	Как спят жирафы?	Спят жирафы ночью, но только по несколько минут подряд; продолжительность глубокого сна в сумме, видимо, не превышает 20 мин за ночь. Спящий жираф лежит, согнув шею, так что его голова покоится на нижней части задней конечности. При этом процесс укладывания (сначала опускаются на грудь, затем на живот) занимает 15-20 секунд. Сон часто прерывается (иногда до восьми раз за ночь). Оказывается, их несгибаемые шеи отлично сгибаются. Это смогли проследить ученые, подкравшись к животным ночью с приборами, позволяющими видеть в темноте. Жирафы кладут голову назад на свой круп, или упирают морду в землю. Понятно, что 20 минут – маловато для таких гигантов, поэтому дефицит сна они компенсируют с помощью своеобразного полудрема днем: большее количество времени они находятся в вертикальном положении и спят стоя, причем с закрытыми глазами, иногда помещая голову между двумя ветками, чтобы не упасть, а сильные шейные мышцы помогают им оставаться в таком положении без особого напряжения. Эти прекрасные животные эффективно решили вопрос сна и отдыха: они умеют это делать и лежа, и стоя, и при этом весьма экономно с точки зрения временных затрат. 	ask_question
12	Может ли ток из розетки убить человека?	Знаешь, при определенной степени (не?)удачи убить человека может даже овсяная печенька. Ток из розетки тоже может, хотя и не обязательно должен.Все знают, что в розетке высокое напряжение, но не все знают, что конкретно это значит. В общем и целом напряжения от 40 вольт уже считаются потенциально опасными, а в твоей розетке их аж 220. Только вот убивать тебя будет не напряжение, а ток, проходящий через твое тело. Ток же этот зависит от сопротивления твоего тела, которое варьируется очень сильно в зависимости от окружающей среды, от индивидуальных особенностей организма и даже твоего эмоционального состояния. Поэтому в разных ситуациях, сунув пальцы в розетку, можно получить «обратку» разной силы. В одних случаях она составит щекотные тысячные доли ампера, в других – смертельные десятые.Однако, при общем неважном состоянии организма и в случае, когда организм не только сует в розетку пальцы, но при этом еще стоит в луже или держится за батарею – шансы тока существенно повышаются. А все потому, что бежит он уже не между пальцами, а через твое трепетное сердце или тупой мозг.Так что на всякий случай будь осторожен со злым током, который живет в розетке. Ну и с овсяными печеньками тоже.	ask_question
427	Может ли пассажирский самолет сделать мертвую петлю?	"Ветеринарный врач Андрей Калинин из ветклиники ""Груминг Сервис"" рассказал, что у кошек случаев венерических заболеваний не зафиксировано, у птиц иногда встречается хламидиоз, а вот у собак действительно существует ряд заболеваний, передающихся половым путем. ""Основное из них - трансмиссивная венерическая саркома - заключается в образовании капустообразной опухоли на гениталиях животного и лечится химиотерапией, - уточняет Андрей Калинин. - Еще собаки при вязке могут подхватить хламидийные инфекции, но они не диагностируются, и нужно ли их лечить - дискутируемый вопрос"". А теперь, дорогой Ангел Димус, хорошая новость: человеку эти заболевания не передаются ни одним из путей. Как бы ты ни старался."	ask_question
355	Моя дочь смотрела мультик про Микки Мауса и вдруг спросила: почему Микки Маус носит перчатки? Есть идеи?	"Ответ на этот животрепещущих вопрос мы нашли в книге 1981 года ""Анимация Диснея: иллюзия жизни"" Томаса и Олли Джонсонов. Когда Уолт Дисней впервые нарисовал Микки Мауса, он наделил его человеческими ладонями вместо мышиных лапок - иначе ему было трудно держать предметы и бить Гуфи. затем мультипликаторы нарисовали ему четыре пальца (трех им показалось маловато, а пяти - жирновато). Затем они надели ему на руки пару перчаток, потому что решили, что так будет легче его ""оживить"". Если твоя дочь все еще не врубается, скажи ей, что у Микки экзема."	ask_question
425	Почему в часе именно 60 минут, а в минуте 60 секунд?	Профессор психологии Александр Орлов считает, что такая тактика объясняется не только природной вредностью и удобством захвата. Для любого человека волосы - символ молодости, красоты и здоровья. А вот спутанные, грязные или вовсе отсутствующие волосы символизируют совершенно обратное - утрату жизненных сил и вообще близкую смерть. Это древнее, универсальное и бессознательное знание живет в каждом из нас на инстинктивном уровне, но обычно обнаруживается лишь в состоянии аффекта. Обычно девушки дерутся именно в этом состоянии, поэтому удивляться пробуждению древних инстинктов не приходится. Главное - не пытаться их разнимать до полной остановки драки.	ask_question
469	У меня нормальный голос, но если записать его на магнитофон - он звучит тонко, гнусаво и мерзко. Почему так происходит?	"Наша версия. Шторки поднимаются, чтобы, когда самолет грохнется, спасатели снаружи могли полюбоваться тем, какие замечательно мертвые пассажиры раскиданы по салону. И сделать фотографии на память. Версия Андрей Чувашова, заместителя директора авиакомпании ""Третьяков"". Шторки нужно поднимать по двум причинам. Во-первых, при жесткой посадке пластиковые шторки могут сломаться, а острые осколки поранить пассажиров. Кроме того, в случае аварийных действий при поднятых шторках будет проще выдавить стекло иллюминатора. Выберите из ситуаций ту, которая тебе больше нравится."	ask_question
205	Могут ли молекулы воздуха начать двигаться в противоположном направлении от моих дыхательных путей?	"Нам показалось, что это совсем не глупый, а, наоборот, очень животрепещущий вопрос. Неужели такой кошмар возможен? Но в физическом институте им. Лебедева нас успокоили. Молекулы воздуха движутся под действием огромного числа внешних факторов (ветер, разница температур, пылинки, взвешенные в атмосфере и т.д.). Вероятность того, что все эти факторы будут работать ""против тебя"", практически равна нулю. Но даже если это случится - ценные молекулы не успеют улететь далеко. Твои легкие, совершающие вдох, притянут их обратно - мощность твоей пневмосистемы перекроет динамические возможности молекул воздуха."	ask_question
112	Почему, если я выхожу из комнаты, то забываю что хотела сделать?	"Все мы каждый день проходим во всевозможные двери огромное количество раз, и никто не теряет от этого память. Однако, прохождение через дверной проём действительно ухудшает память — к такому выводу пришли ученые из Университета Нотр-Дамв Индиане, США, которые провели серию психологических тестов с использованием аппаратуры виртуальной реальности: сначала студенты-добровольцы переносили коробки из комнаты в комнату в виртуальности, а затем и в реальных условиях. Выяснилось, что во всех случаях участникам эксперимента было сложнее вспомнить, что лежит в коробке, если они выходили в другое помещение. ""Выход в дверь служит ""рубежом событий"" в мышлении, который разграничивает эпизоды деятельности и ""сдает их в архив"", — говорит профессор Гэбриэл Радвански. — Вспомнить решение или действие, состоявшиеся в другом помещении, сложно, поскольку они отнесены мышлением к другой категории""."	ask_question
415	Если стрельнуть из пистолета или автомата вверх, а потом пуля кому-нибудь на голову попадет. Убьет, интересно, или нет?...	"Член Российской ассоциации практической стрельбы Борис Хейфиц рассуждал так: ""Выпущенная вертикально пуля будет падать с ускорением 1 g, то есть набирая 9,8 м за каждую секунду. Если стрелять из автомата Калашникова, то пуля улетит в небо примерно на 1000 метров, а падать будет 14 секунд. С учетом сопротивления воздуха скорость восьмиграммовой пули достигнет около 110-120 м/с, а на голову она опустится с энергией примерно в 50 джоулей. Специалисты по раневой баллистике считают, что этой энергии достаточно, чтобы смертельно ранить человека. Для пистолета характеристики будут значительно меньше - пуля взлетит на высоту примерно в 200 м и вернется на землю с меньшей энергией. Так что вероятность того, пробьет ли пуля голову, колеблется в зависимости от калибра и от мощности оружия"". Чтобы тебе, Женя, стало понятная, пуля, выпущенная из снайперской винтовки, на обратном пути пробьет голову, а пейнтбольный шарик оставит только красочное пятно. (От себя, а не от головы.)"	ask_question
153	Зачем раньше сигаретные фильтры покрывали оранжевой бумагой с желтыми вкраплениями?	"Экскурс в историю сигарет для тебя проводит Алекс Роуз, автор ""Большой книги о табаке"". Эксперт рассказал, что давным-давно, в незапамятные времена, а точнее, в первой половине XX века фильтры полностью делали из бумаги. Основной их смысл был в том, чтобы не допустить попадания табака в рот. ""Но бумага прослужила недолго: она неприятно прилипала к губам, а иногда даже отрывала от них кусочки кожи"", - сокрушается наш консультант. Чтобы из-за такой нелепости армия курильщиков не становилась меньше, а наоборот - росла как на дрожжах, производителям пришлось заменить верхний бумажный слой фильтров пробковым. Со временем у человечества, то есть у сигарет, появился угольный фильтр. Его стали оборачивать специальной бумагой, которая имитировала фактуру пробки. ""Это был маркетинговый ход - для того, чтобы сигареты оставались похожими на себя"", - заключает эксперт."	ask_question
44	Может ли негр загореть?	"Негры очень любят загорать, от этого они светлеют и превращаются в голубоглазых блондинов. А если серьезно, то негры действительно могут загорать. Большинство представителей негроидной расы все же не антрацитово-черные и при загаре они становятся чуточку темнее. Просто загар на них менее заметен по причине и без того темного оттенка кожи. Хотя для тех, кому все негры на одно лицо, это будет незаметно.Распространено также заблуждение, что из-за высокого уровня меланина в клетках кожи, неграм совершенно не нужно пользоваться кремом от загара. На самом деле обгорают и облазят чернокожие точно также как и бледнолицые, особенно если перед походом на пляж также как и ты, долгие месяцы провели за компом. "	ask_question
19	Если чёрная кошка перебежала дорогу, а потом быстро перебежала обратно, то она отменяет эффект или наоборот - удваивает?	"Ответить на этот вопрос могут только действительно умные и несуеверные люди. Самый разумный ответ мы получили от В.Ф.Бутузова – заведующего кафедрой математики физфака МГУ. «Если рассматривать кошку как скалярную величину, то эффект удваивается. Если же кошка векторная, то отменяется!» - выпалил Валентин Федорович, отступая от нас спиной вперед и зачем-то теребя пуговицу своего пиджака.А мы тебе, в свою очередь, хотим авторитетно заявить, что перебегающая дорогу черная кошка ровным счетом ничего не значит. Животное просто идет по своим делам. Не надо усложнять жизнь ни себе, ни кошке."	ask_question
430	А что будет, если в меня стреляют, а я заткну пальцем ствол?	С момента открытия этой отмороженной части суши овладеть ею пытались Англия, Аргентина, Чили, Норвегия, Австралия, Новая Зеландия, Франция и США. Тем не менее и по сей день Антарктида не принадлежит ни одному государству. Там нет постоянного населения, кроме пингвинов, буревестников, поморников и полярников. Считается, что это континент мира и сотрудничества. Как сообщил нам доктор географических наук С.П. Костин, ни одна из стран не может объявить Антарктиду своей землей и в ее пределах запрещены любые военные приготовления. Юридически это закреплено международным договором, который был подписан 1 декабря 1959 года. нарушить договор до сих пор никто не пытался.	ask_question
128	Можно ли по количеству точек узнать возраст божьей коровки?	Нет. У различных видов количество точек различно. Встречаются божьи коровки и всего лишь с одной точкой (иногда она выглядит как две, если находится по центру на стыке надкрыльев), и даже 22-точечные. На протяжении жизни этих жуков количество точек не меняется. Кстати, если бы точки действительно обозначали возраст божьих коровок, их бы было не больше трех.	ask_question
275	Почему чувство юмора у мужчин острее, чем у женщин?	"Ты тоже заметила? Ну слава богу, а то уж нам начало казаться, что мы шовинисты! Совсем же нашу уверенность в своих сверхспособностях укрепил психотерапевт клиники ""Здоровье"" В. Ляпустин: ""Видите ли, способность к метафорам, каламбурам, вообще умение видеть связи между предметами и явлениями - это как бы атавизм, оставшийся с тех времен, когда мужчины были охотниками и осваивали большие массивы информации"". Производить шутки нам помогает тестостерон, которым женщины (ничего личного) обделены. ""Юмор в психологической теории - это продукт внутренней агрессии, а она присуща в основном мужчинам, так как напрямую зависит от уровня тестостерона. Хотя, конечно, агрессия может находить и другой выход, так что связь тут не прямая"", - зло объяснил начавший раздражаться эксперт."	ask_question
399	Чьим именем называют получившуюся после слияния реку? Именем той реки, которая больше?	"Замначальника Управления топографо-геодезичеких работ Роскартографии В.Е. Жуковский оторвал взгляд от снимка горизонта из космоса и устало сказал: ""Названия большинства крупных рек сложились исторически. Сотни лет назад никому и в голову не приходило измерять сток реки в среднегодовом плане"". Так, например, у Енисея годовой сток больше. Но эвенки, жившие в правобережье Ангары и Енисея, считали главной рекой Ангару, а Енисей притоком, так как в том месте Ангара действительно полноводнее и шире Енисея."	ask_question
113	Правда ли, что жевание жевательной резинки помогает сосредоточиться?	Если твоя рабочая деятельность связана с умственным напряжением, и ты хочешь сконцентрировать внимание на выполнении сложной задачи — пожуй жвачку. Жвачка действительно помогает сосредоточиться. Жевательные движения челюстей способствуют приливу крови к голове и, следовательно, головному мозгу, который, будучи насыщен кислородом, начинает лучше работать. Способность жевания жевательной резинки повышать концентрацию внимания было замечено ещё Филиппом Ригли, который в начале 20 века построил на этом рекламную кампанию своей жвачки. Независимые медицинские исследования подтвердили его правоту.	ask_question
381	Как телевизионщики подсчитывают рейтинги программ? За нами следят скрытые камеры?	"Как нам рассказал руководитель отдела исследований телеканала ТНТ Лев Макаров, рейтинги на ТВ-рынке определяют электронные измерения TNS Gallup Media. Для этого набирают уменьшенную копию России — примерно 7500 случайных людей. Попасть в эту группу может любой, кто проживает в городах с населением более 100 000 человек, кто старше четырех лет, кто не работает в СМИ и не имеет выгоды от просмотра ""нужных"" каналов. Избранным ставят дома прибор - пиплметр. И просто так к телевизору уже не сесть: включив его, тебе сначала нужно зарегистрироваться на пиплметре и только потом посмотреть рекламу, надеясь разглядеть в перерывах какой-нибудь сериал. Ночью все пиплметры передают данные в головной офис, и там подводят итоги. Оплата? Только подарки и агитационные материалы."	ask_question
88	Каждого ли заключенного насилуют в тюрьме?	Нет единого мнения на этот счет, но в результате тюремной проверки были сделаны определенные выводы. Примерно к одному из пяти мужчин заключенных применяется сексуальное насилие, а примерно один из 10 был фактически изнасилован. Насмотревшись фильмов про насилие, со сценарием про типичных молодых девушек, попав в тюрьму, заключенные не могут устоять перед соблазном. В тюрьме они покупаются и продаются как проститутки. Это хоть какой-то способ справиться с собой, чтобы не начать снова насилие во внешнем мире выйдя на свободу.	ask_question
368	Если луна отражает свет солнца, значит, загорать можно и ночью, под луной?	"Специалисты по астрономии из американского Университета Индианы утверждают, что Луна отражает всего 11% падающих на нее солнечных лучей, а остальные поглощает. Достигающего поверхности Земли излучения, ультрафиолетового в том числе, просто недостаточно, чтобы спровоцировать выработку клетками кожи меланина и, соответственно, дать тебе загореть под луной. ""Теоретически, - задумчиво прибавили ученые, - длительное пребывание под лунным светом может в конце концов спровоцировать какую-то реакцию на ультрафиолет. Только придется принимать лунные ванны в течение пары сотен лет"". Но если начать прямо сейчас, то уже лет через пятьдесят ты заметишь, что твоя кожа слегка изменилась."	ask_question
408	Где будет сидеть инструктор по вождению, если я пойду учиться водить мотоцикл: за талию меня обнимать будет сзади или в коляске трястись?	"Завуч автошколы ОСТО МАИ Ирина Аскарова уверила нас, что инструктор не будет нарушать границы интимной зоны ученика. ""Сначала проводится инструктаж. Потом ученик под надзором инструктора осваивает мотоцикл"". Для начала нужно научиться держать равновесие, отслеживать момент, когда мотоцикл стоит ровно. Это происходит на маленькой скорости, а инструктор находится рядом, следит за действиями ученика и напоминает ему, что следует делать. Потом, когда ученик освоился, инструктор позволяет ему увеличить скорость и дает задания на полигоне, за исполнением которых наблюдает со стороны. Именно это, кстати, и спасает инструктору жизнь."	ask_question
256	Почему уколы от бешенства делают именно в живот?	"Сорок уколов в живот - еще не слишком мягкое наказание за то, что человек не сумел сам задушить бешеную собаку и теперь дергает врачей по пустякам. Так, судя по выражению лица, хотел ответить нам И.В. Зеленкин, врач-травматолог травматологии. Но что-то заставило его в последнюю секунду выдать более прозаичное объяснение: ""Вакцина под названием ""КАВ"" вводится исключительно в подкожную клетчатку живота, потому что только в жировые отложения ее и можно вводить. А на животе они всегда есть"". Видишь ли, если раствор вколоть в другие ткани тела, то его концентрация может спровоцировать паралич. И только из жира вакцина будет постепенно проникать в организм. ""Правда, недавно был изобретен другое препарат, который позволяет вместо сорока уколов в живот делать всего шесть в плечо"", - грустно вздохнул врач."	ask_question
